Unnamed: 0,Ovhd,Rank
Rabbinical Academy Mesivta Rabbi Chaim Berlin,0.04,1.0
Mesivtha Tifereth Jerusalem of America,0.19,2.0
Beis Medrash Heichal Dovid,0.22,3.0
Sioux Falls Seminary,0.24,4.0
Toyota Technological Institute at Chicago,0.27,5.5
Yeshivath Zichron Moshe,0.27,5.5
Apex School of Theology,0.28,8.0
Bais Medrash Elyon,0.28,8.0
Arizona State University-Skysong,0.28,8.0
Yeshivath Viznitz,0.31,10.0
University of Missouri-Columbia,0.36,11.0
Antioch University-PhD Program in Leadership and Change,0.37,12.0
Yeshiva Gedolah of Greater Detroit,0.38,13.5
The Chicago School of Professional Psychology at Irvine,0.38,13.5
Universidad Internacional Iberoamericana,0.39,15.0
East Carolina University,0.4,16.0
Yeshivat Mikdash Melech,0.42,17.0
Massachusetts School of Law,0.43,18.0
Naval Postgraduate School,0.46,19.5
Kettering College,0.46,19.5
Mount Carmel College of Nursing,0.48,21.0
Appalachian College of Pharmacy,0.51,22.0
The University of Texas at Brownsville,0.52,23.0
Saint Francis Medical Center College of Nursing,0.53,24.0
University of Management and Technology,0.54,25.0
Allen College,0.55,26.0
Midwestern University-Glendale,0.58,27.5
Union University,0.58,27.5
Northeastern Seminary,0.6,30.0
Louisiana Tech University,0.6,30.0
Inter American University of Puerto Rico-Metro,0.6,30.0
Caribbean University-Ponce,0.61,33.0
New Orleans Baptist Theological Seminary,0.61,33.0
Antioch University-New England,0.61,33.0
Colorado State University-Fort Collins,0.62,35.0
Keck Graduate Institute,0.63,36.0
University of North Carolina at Chapel Hill,0.64,38.5
Salisbury University,0.64,38.5
Charleston School of Law,0.64,38.5
Winona State University,0.64,38.5
Brigham Young University-Provo,0.65,41.0
Samuel Merritt University,0.66,42.5
West Chester University of Pennsylvania,0.66,42.5
Saint Ambrose University,0.67,44.5
Spalding University,0.67,44.5
University of Missouri-Kansas City,0.68,47.5
Savannah Law School,0.68,47.5
Baylor College of Medicine,0.68,47.5
West Texas A & M University,0.68,47.5
Oblate School of Theology,0.69,51.0
University of Washington-Tacoma Campus,0.69,51.0
Mirrer Yeshiva Cent Institute,0.69,51.0
Central Baptist Theological Seminary,0.7,53.0
Stanford University,0.71,56.5
Chamberlain College of Nursing-Illinois,0.71,56.5
South College,0.71,56.5
Central Michigan University,0.71,56.5
William Carey University,0.71,56.5
Yeshiva D'monsey Rabbinical College,0.71,56.5
Millersville University of Pennsylvania,0.72,62.0
The Wright Institute,0.72,62.0
Rutgers University-Newark,0.72,62.0
Bloomsburg University of Pennsylvania,0.72,62.0
Arizona State University-Polytechnic,0.72,62.0
Shippensburg University of Pennsylvania,0.73,65.0
Plymouth State University,0.74,67.0
Piedmont College,0.74,67.0
Appalachian State University,0.74,67.0
Montana Tech of the University of Montana,0.75,71.5
University of Wisconsin-La Crosse,0.75,71.5
Indiana University of Pennsylvania-Main Campus,0.75,71.5
Michigan State University-College of Law,0.75,71.5
University of Central Arkansas,0.75,71.5
Southwestern Law School,0.75,71.5
University of Wisconsin-Eau Claire,0.76,77.5
Tarleton State University,0.76,77.5
Trinity Episcopal School for Ministry,0.76,77.5
Southwestern Oklahoma State University,0.76,77.5
Vermont Law School,0.76,77.5
Boston Graduate School of Psychoanalysis Inc,0.76,77.5
University of Puget Sound,0.77,82.0
MGH Institute of Health Professions,0.77,82.0
Southern Connecticut State University,0.77,82.0
South Dakota School of Mines and Technology,0.78,85.5
South Texas College of Law,0.78,85.5
Texas A & M University-Kingsville,0.78,85.5
Hardin-Simmons University,0.78,85.5
Texas Tech University,0.79,90.5
Midwestern University-Downers Grove,0.79,90.5
Lindenwood University,0.79,90.5
Tuskegee University,0.79,90.5
Marshall University,0.79,90.5
James Madison University,0.79,90.5
Colorado Mesa University,0.8,95.5
Pennsylvania State University-Penn State Harrisburg,0.8,95.5
Saint Anthony College of Nursing,0.8,95.5
Antioch University-Seattle,0.8,95.5
Rhode Island College,0.81,99.5
University of Puerto Rico-Medical Sciences,0.81,99.5
Institute for the Psychological Sciences,0.81,99.5
Saint John Fisher College,0.81,99.5
Old Dominion University,0.82,105.0
Georgia Christian University,0.82,105.0
Texas A & M University-College Station,0.82,105.0
Colorado School of Mines,0.82,105.0
Our Lady of the Lake College,0.82,105.0
Husson University,0.82,105.0
Husson University,0.82,105.0
Rutgers University-Camden,0.83,110.5
Howard University,0.83,110.5
Bryan College of Health Sciences,0.83,110.5
CUNY Hunter College,0.83,110.5
Slippery Rock University of Pennsylvania,0.84,116.0
University of Wisconsin-Whitewater,0.84,116.0
Middle Tennessee State University,0.84,116.0
Inter American University of Puerto Rico-Ponce,0.84,116.0
Grand Valley State University,0.84,116.0
Nazareth College,0.84,116.0
Rocky Mountain University of Health Professions,0.84,116.0
Argosy University-Schaumburg,0.85,124.0
Universidad Politecnica de Puerto Rico,0.85,124.0
Ferris State University,0.85,124.0
St John's University-New York,0.85,124.0
University of Mary,0.85,124.0
Widener University-Commonwealth Law School,0.85,124.0
Lynchburg College,0.85,124.0
Missouri State University-Springfield,0.85,124.0
Mississippi University for Women,0.85,124.0
University of New Hampshire-School of Law,0.86,132.5
Minnesota State University-Mankato,0.86,132.5
Minnesota State University Moorhead,0.86,132.5
Florida State University,0.86,132.5
Grace Mission University,0.86,132.5
Louisiana State University-Shreveport,0.86,132.5
Inter American University of Puerto Rico-San German,0.86,132.5
Miami University-Oxford,0.86,132.5
Northeastern State University,0.87,141.0
Texas Health and Science University,0.87,141.0
D'Youville College,0.87,141.0
George Mason University,0.87,141.0
Winston-Salem State University,0.87,141.0
Millikin University,0.87,141.0
Thomas Jefferson School of Law,0.87,141.0
Ithaca College,0.87,141.0
Lamar University,0.87,141.0
Pacific University,0.88,148.5
Eastern Michigan University,0.88,148.5
York College Pennsylvania,0.88,148.5
Arkansas Tech University,0.88,148.5
Western State College of Law at Argosy University,0.88,148.5
Shenandoah University,0.88,148.5
Radford University,0.89,155.0
Texas A & M University-Texarkana,0.89,155.0
High Point University,0.89,155.0
Northwestern State University of Louisiana,0.89,155.0
The John Marshall Law School,0.89,155.0
University of Louisiana at Monroe,0.89,155.0
University of Akron Main Campus,0.89,155.0
North Park University,0.9,162.5
Mississippi College,0.9,162.5
Clarke University,0.9,162.5
University of Louisiana at Lafayette,0.9,162.5
SUNY at Binghamton,0.9,162.5
Langston University,0.9,162.5
Valdosta State University,0.9,162.5
Bradley University,0.9,162.5
Michigan Technological University,0.91,170.0
Virginia Polytechnic Institute and State University,0.91,170.0
University of Michigan-Dearborn,0.91,170.0
William James College,0.91,170.0
The Chicago School of Professional Psychology at Chicago,0.91,170.0
Texas A & M University-Corpus Christi,0.91,170.0
New York Theological Seminary,0.91,170.0
Texas Southern University,0.92,178.0
Florida Institute of Technology,0.92,178.0
Texas Christian University,0.92,178.0
The University of Texas Rio Grande Valley,0.92,178.0
Armstrong State University,0.92,178.0
Barnes-Jewish College Goldfarb School of Nursing,0.92,178.0
Inter American University of Puerto Rico-School of Optometry,0.92,178.0
Youngstown State University,0.92,178.0
University of North Texas,0.92,178.0
Western Illinois University,0.93,186.5
Virginia State University,0.93,186.5
Ohio Northern University,0.93,186.5
Jacksonville University,0.93,186.5
Cedarville University,0.93,186.5
Portland State University,0.93,186.5
The University of Findlay,0.93,186.5
University of the Cumberlands,0.93,186.5
Florida Gulf Coast University,0.94,195.0
New York Law School,0.94,195.0
Texas Chiropractic College Foundation Inc,0.94,195.0
George Fox University,0.94,195.0
American College of Acupuncture and Oriental Med,0.94,195.0
Touro University California,0.94,195.0
California University of Pennsylvania,0.94,195.0
Central Connecticut State University,0.94,195.0
Texas A & M University-Commerce,0.94,195.0
University of Maryland-College Park,0.95,203.5
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,0.95,203.5
The University of Tennessee-Chattanooga,0.95,203.5
Texas Woman's University,0.95,203.5
University of Northern Colorado,0.95,203.5
Nebraska Methodist College of Nursing & Allied Health,0.95,203.5
CUNY City College,0.95,203.5
Iowa State University,0.95,203.5
Stephen F Austin State University,0.96,210.0
Towson University,0.96,210.0
Reformed Presbyterian Theological Seminary,0.96,210.0
Angelo State University,0.96,210.0
Southeastern Louisiana University,0.96,210.0
Prescott College,0.97,214.5
Wingate University,0.97,214.5
Roseman University of Health Sciences,0.97,214.5
University of Colorado Colorado Springs,0.97,214.5
University of Hawaii at Hilo,0.98,220.0
Stony Brook University,0.98,220.0
Wesleyan University,0.98,220.0
Concordia University-Chicago,0.98,220.0
Southern Methodist University,0.98,220.0
University of Southern Indiana,0.98,220.0
University of Massachusetts-Amherst,0.98,220.0
University of Minnesota-Duluth,0.99,228.0
University of Southern Mississippi,0.99,228.0
Southwest Baptist University,0.99,228.0
Saint Cloud State University,0.99,228.0
Murray State University,0.99,228.0
University of Hawaii at Manoa,0.99,228.0
Erskine College,0.99,228.0
Georgia College and State University,0.99,228.0
Bowling Green State University-Main Campus,0.99,228.0
University of Tulsa,1.0,236.0
Florida Agricultural and Mechanical University,1.0,236.0
Andover Newton Theological School,1.0,236.0
University of Puerto Rico-Rio Piedras,1.0,236.0
The University of Montana,1.0,236.0
Indiana University-Bloomington,1.0,236.0
Arizona State University-Downtown Phoenix,1.0,236.0
The University of Texas at Arlington,1.01,243.0
Daemen College,1.01,243.0
Michigan State University,1.01,243.0
Methodist University,1.01,243.0
Saginaw Valley State University,1.01,243.0
University of Kansas,1.01,243.0
University of Wisconsin-Oshkosh,1.01,243.0
Fayetteville State University,1.02,251.5
College of Staten Island CUNY,1.02,251.5
Faulkner University,1.02,251.5
Seattle University,1.02,251.5
Pittsburg State University,1.02,251.5
Washburn University,1.02,251.5
Manchester University,1.02,251.5
Southern University and A & M College,1.02,251.5
University of Wisconsin-Milwaukee,1.02,251.5
Pontifical Catholic University of Puerto Rico-Arecibo,1.02,251.5
Pontifical Catholic University of Puerto Rico-Ponce,1.03,260.5
Missouri University of Science and Technology,1.03,260.5
Loyola University Maryland,1.03,260.5
Bethel Seminary-St Paul,1.03,260.5
Notre Dame of Maryland University,1.03,260.5
University of Detroit Mercy,1.03,260.5
University of Evansville,1.03,260.5
Albany College of Pharmacy and Health Sciences,1.03,260.5
University of Memphis,1.04,270.5
Butler University,1.04,270.5
Smith College,1.04,270.5
Lincoln University,1.04,270.5
Suffolk University,1.04,270.5
Norfolk State University,1.04,270.5
Concordia University-Wisconsin,1.04,270.5
Palm Beach Atlantic University,1.04,270.5
Fairleigh Dickinson University-College at Florham,1.04,270.5
Alabama College of Osteopathic Medicine,1.04,270.5
University of the Sciences,1.04,270.5
Calvin Theological Seminary,1.04,270.5
Eastern Virginia Medical School,1.05,280.5
University of South Alabama,1.05,280.5
Roger Williams University School of Law,1.05,280.5
University of Houston-Clear Lake,1.05,280.5
St Catherine University,1.05,280.5
Albany Law School,1.05,280.5
Oregon State University,1.05,280.5
University of New Hampshire-Main Campus,1.05,280.5
Sam Houston State University,1.06,292.0
Ave Maria School of Law,1.06,292.0
The Chicago School of Professional Psychology at Washington DC,1.06,292.0
Briar Cliff University,1.06,292.0
Northern Kentucky University,1.06,292.0
Columbus State University,1.06,292.0
Western Carolina University,1.06,292.0
University of Oregon,1.06,292.0
Atlanta's John Marshall Law School,1.06,292.0
Tennessee Technological University,1.06,292.0
Touro University Nevada,1.06,292.0
SUNY Polytechnic Institute,1.06,292.0
University of North Carolina Wilmington,1.06,292.0
The College of Saint Scholastica,1.06,292.0
Summit University of Pennsylvania,1.06,292.0
The University of Texas at Dallas,1.07,306.5
University of Saint Mary,1.07,306.5
University of the District of Columbia-David A Clarke School of Law,1.07,306.5
University of Scranton,1.07,306.5
Brooklyn Law School,1.07,306.5
The University of Texas at Tyler,1.07,306.5
Worcester Polytechnic Institute,1.07,306.5
Arkansas State University-Main Campus,1.07,306.5
University of Rhode Island,1.07,306.5
University of North Georgia,1.07,306.5
University of Portland,1.07,306.5
Georgia Southern University,1.07,306.5
Willamette University,1.07,306.5
Fielding Graduate University,1.07,306.5
Clemson University,1.08,317.0
Dakota State University,1.08,317.0
Northern Arizona University,1.08,317.0
Northern Michigan University,1.08,317.0
West Coast University-Los Angeles,1.08,317.0
Widener University-Delaware Law School,1.08,317.0
Illinois Institute of Technology,1.08,317.0
Eastern Washington University,1.09,324.5
MCPHS University,1.09,324.5
University of Jamestown,1.09,324.5
New York College of Podiatric Medicine,1.09,324.5
Loyola University Chicago,1.09,324.5
Molloy College,1.09,324.5
Chapman University,1.09,324.5
University of Toledo,1.09,324.5
Brite Divinity School,1.1,336.0
Oakland University,1.1,336.0
California State University-Fullerton,1.1,336.0
Frostburg State University,1.1,336.0
Indiana University-Purdue University-Indianapolis,1.1,336.0
DePaul University,1.1,336.0
"Bexley Hall Seabury Western Theological Seminary Federation, Inc.",1.1,336.0
Dominican University,1.1,336.0
West Virginia University,1.1,336.0
Huntington University,1.1,336.0
Belmont University,1.1,336.0
University of Wisconsin-Stevens Point,1.1,336.0
Memphis Theological Seminary,1.1,336.0
King University,1.1,336.0
Midwestern Baptist Theological Seminary,1.1,336.0
Andrews University,1.11,348.5
University of Alaska Anchorage,1.11,348.5
Ball State University,1.11,348.5
College of Saint Mary,1.11,348.5
California State University-Long Beach,1.11,348.5
University of Charleston,1.11,348.5
University of West Georgia,1.11,348.5
University of Colorado Boulder,1.11,348.5
College of William and Mary,1.11,348.5
University of Nebraska at Omaha,1.11,348.5
Texas Wesleyan University,1.12,360.0
Alliant International University-San Diego,1.12,360.0
California Western School of Law,1.12,360.0
University of North Carolina at Charlotte,1.12,360.0
Indiana State University,1.12,360.0
Carson-Newman University,1.12,360.0
Mercyhurst University,1.12,360.0
University of Wisconsin-Stout,1.12,360.0
Robert Morris University,1.12,360.0
California State University-Fresno,1.12,360.0
Gannon University,1.12,360.0
Barry University,1.12,360.0
Arizona State University-West,1.12,360.0
Michigan School of Professional Psychology,1.13,374.0
Clarkson University,1.13,374.0
Jacksonville State University,1.13,374.0
Brenau University,1.13,374.0
Oklahoma City University,1.13,374.0
Capital University,1.13,374.0
LIU Brooklyn,1.13,374.0
Emporia State University,1.13,374.0
Frontier Nursing University,1.13,374.0
Utah State University,1.13,374.0
University of Michigan-Flint,1.13,374.0
California State University-Los Angeles,1.13,374.0
Arizona Summit Law School,1.13,374.0
Nyack College,1.13,374.0
Manhattan School of Music,1.13,374.0
William Paterson University of New Jersey,1.14,389.5
Adams State University,1.14,389.5
Middle Tennessee School of Anesthesia Inc,1.14,389.5
South University-Savannah,1.14,389.5
University of St Thomas,1.14,389.5
University of St Thomas,1.14,389.5
Florida Atlantic University,1.14,389.5
University of Washington-Seattle Campus,1.14,389.5
Harding University,1.14,389.5
Washington and Lee University,1.14,389.5
Creighton University,1.14,389.5
Valparaiso University,1.14,389.5
St Louis College of Pharmacy,1.14,389.5
Xavier University,1.14,389.5
Claremont Graduate University,1.14,389.5
Lewis & Clark College,1.14,389.5
National University of Health Sciences,1.15,403.5
The University of Texas at El Paso,1.15,403.5
North Greenville University,1.15,403.5
A T Still University of Health Sciences,1.15,403.5
Whittier College,1.15,403.5
Texas State University,1.15,403.5
Rockhurst University,1.15,403.5
Judson University,1.15,403.5
Otterbein University,1.15,403.5
University of Massachusetts-Dartmouth,1.15,403.5
Florida Coastal School of Law,1.15,403.5
St Mary's University,1.15,403.5
Stetson University,1.16,415.0
University at Buffalo,1.16,415.0
North Carolina Central University,1.16,415.0
Bentley University,1.16,415.0
Drexel University,1.16,415.0
Loyola University New Orleans,1.16,415.0
University of South Florida-Main Campus,1.16,415.0
San Francisco State University,1.16,415.0
Campbell University,1.16,415.0
Aquinas Institute of Theology,1.16,415.0
University of Central Florida,1.16,415.0
University of Hartford,1.17,425.0
Northeastern University,1.17,425.0
California State University-Northridge,1.17,425.0
University of California-Santa Barbara,1.17,425.0
Delta State University,1.17,425.0
Pacific Lutheran University,1.17,425.0
University of Wyoming,1.17,425.0
Duquesne University,1.17,425.0
Clark University,1.17,425.0
Regis University,1.18,436.0
Baylor University,1.18,436.0
LIU Post,1.18,436.0
Western New England University,1.18,436.0
University of Massachusetts-Boston,1.18,436.0
University of Maryland Eastern Shore,1.18,436.0
Catholic University of America,1.18,436.0
Samford University,1.18,436.0
University of the Rockies,1.18,436.0
Montclair State University,1.18,436.0
Milligan College,1.18,436.0
Nashotah House,1.18,436.0
Bowie State University,1.18,436.0
Rensselaer Polytechnic Institute,1.19,446.5
Grambling State University,1.19,446.5
Morgan State University,1.19,446.5
East Tennessee State University,1.19,446.5
University of Houston,1.19,446.5
University of Holy Cross,1.19,446.5
University of California-Hastings College of Law,1.19,446.5
Temple University,1.19,446.5
Faith Evangelical College & Seminary,1.2,453.5
New England College of Optometry,1.2,453.5
Saint Mary's College,1.2,453.5
Wayne State University,1.2,453.5
California Institute of the Arts,1.2,453.5
Presbyterian College,1.2,453.5
University of Northern Iowa,1.21,464.5
Western Kentucky University,1.21,464.5
University of Oklahoma-Norman Campus,1.21,464.5
Misericordia University,1.21,464.5
New England Law-Boston,1.21,464.5
Caldwell University,1.21,464.5
California Baptist University,1.21,464.5
Wolford College,1.21,464.5
University of Massachusetts-Lowell,1.21,464.5
Southern College of Optometry,1.21,464.5
Loma Linda University,1.21,464.5
New York University,1.21,464.5
Idaho State University,1.21,464.5
University of Richmond,1.21,464.5
University of Indianapolis,1.21,464.5
DeSales University,1.21,464.5
Alabama State University,1.22,476.0
University of the Incarnate Word,1.22,476.0
Drake University,1.22,476.0
University of North Florida,1.22,476.0
Walsh University,1.22,476.0
California State University-Stanislaus,1.22,476.0
Maranatha Baptist University,1.22,476.0
University of Cincinnati-Main Campus,1.23,485.5
Massachusetts Institute of Technology,1.23,485.5
Viterbo University,1.23,485.5
Lindsey Wilson College,1.23,485.5
Salus University,1.23,485.5
South Dakota State University,1.23,485.5
Lehigh University,1.23,485.5
University of Maryland-Baltimore County,1.23,485.5
Columbia University in the City of New York,1.23,485.5
University of Arkansas at Little Rock,1.23,485.5
University of Alaska Fairbanks,1.23,485.5
Syracuse University,1.23,485.5
North Carolina A & T State University,1.24,497.0
Anderson University,1.24,497.0
Anderson University,1.24,497.0
Brown University,1.24,497.0
University of Utah,1.24,497.0
